timestamp	clocks.sm	clocks.mem	power.draw	temperature.gpu	clocks_throttle_reasons.active	clocks_throttle_reasons.sw_power_cap	clocks_throttle_reasons.hw_slowdown	clocks_throttle_reasons.sw_thermal_slowdown	utilization.gpu
2026/09/22 07:52:35.800	30.0	405.0	22.98	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:35.905	30.0	405.0	22.98	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:36.005	30.0	405.0	22.98	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:36.106	30.0	405.0	23.1	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:36.206	30.0	405.0	23.1	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:36.306	30.0	405.0	23.1	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:36.406	30.0	405.0	23.1	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:36.507	30.0	405.0	23.1	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:36.607	30.0	405.0	23.1	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:36.707	30.0	405.0	23.1	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:36.807	30.0	405.0	23.1	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:36.907	30.0	405.0	23.1	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:37.008	30.0	405.0	23.1	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:37.108	30.0	405.0	23.15	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:37.208	30.0	405.0	23.15	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:37.308	30.0	405.0	23.15	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:37.408	30.0	405.0	23.15	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:37.508	30.0	405.0	23.15	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:37.609	30.0	405.0	23.15	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:37.709	30.0	405.0	23.15	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:37.809	30.0	405.0	23.15	27.0	0x0000000000000004	Active	Not Active	Not Active	0.0
2026/09/22 07:52:37.909	30.0	405.0	23.15	27.0	0x0000000000000000	Not Active	Not Active	Not Active	0.0
2026/09/22 07:52:38.009	1282.0	13801.0	23.15	27.0	0x0000000000000000	Not Active	Not Active	Not Active	0.0
2026/09/22 07:52:38.109	1282.0	13801.0	97.25	27.0	0x0000000000000000	Not Active	Not Active	Not Active	0.0
2026/09/22 07:52:38.210	1282.0	13801.0	97.25	27.0	0x0000000000000000	Not Active	Not Active	Not Active	100.0
2026/09/22 07:52:38.310	1282.0	13801.0	97.25	44.0	0x0000000000000000	Not Active	Not Active	Not Active	100.0
2026/09/22 07:52:38.410	1282.0	13801.0	97.25	44.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:38.510	2812.0	13801.0	97.25	44.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:38.610	2812.0	13801.0	256.12	44.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:38.710	2812.0	13801.0	256.12	44.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:38.811	2812.0	13801.0	256.12	46.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:38.911	2812.0	13801.0	256.12	46.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:39.011	2790.0	13801.0	256.12	46.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:39.111	2790.0	13801.0	603.18	46.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:39.211	2790.0	13801.0	603.18	46.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:39.311	2790.0	13801.0	603.18	47.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:39.412	2790.0	13801.0	603.18	47.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:39.512	2790.0	13801.0	603.18	47.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:39.612	2790.0	13801.0	599.95	47.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:39.712	2790.0	13801.0	599.95	47.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:39.812	2790.0	13801.0	599.95	47.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:39.912	2790.0	13801.0	599.95	47.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:40.013	2790.0	13801.0	599.95	47.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:40.113	2790.0	13801.0	600.2	47.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:40.213	2790.0	13801.0	600.2	47.0	0x0000000000000004	Active	Not Active	Not Active	98.0
2026/09/22 07:52:40.313	2790.0	13801.0	600.2	48.0	0x0000000000000004	Active	Not Active	Not Active	98.0
2026/09/22 07:52:40.413	2790.0	13801.0	600.2	48.0	0x0000000000000004	Active	Not Active	Not Active	98.0
2026/09/22 07:52:40.513	2790.0	13801.0	600.2	48.0	0x0000000000000004	Active	Not Active	Not Active	98.0
2026/09/22 07:52:40.614	2790.0	13801.0	600.24	48.0	0x0000000000000004	Active	Not Active	Not Active	98.0
2026/09/22 07:52:40.714	2790.0	13801.0	600.24	48.0	0x0000000000000004	Active	Not Active	Not Active	98.0
2026/09/22 07:52:40.814	2790.0	13801.0	600.24	48.0	0x0000000000000004	Active	Not Active	Not Active	98.0
2026/09/22 07:52:40.914	2790.0	13801.0	600.24	48.0	0x0000000000000004	Active	Not Active	Not Active	98.0
2026/09/22 07:52:41.014	2782.0	13801.0	600.24	48.0	0x0000000000000004	Active	Not Active	Not Active	98.0
2026/09/22 07:52:41.115	2782.0	13801.0	600.01	48.0	0x0000000000000004	Active	Not Active	Not Active	98.0
2026/09/22 07:52:41.215	2782.0	13801.0	600.01	48.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:41.315	2782.0	13801.0	600.01	49.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:41.415	2782.0	13801.0	600.01	49.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:41.515	2782.0	13801.0	600.01	49.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:41.615	2782.0	13801.0	600.06	49.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:41.716	2782.0	13801.0	600.06	49.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:41.816	2782.0	13801.0	600.06	49.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:41.916	2782.0	13801.0	600.06	49.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:42.016	2782.0	13801.0	600.06	49.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:42.116	2782.0	13801.0	600.05	49.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:42.216	2782.0	13801.0	600.05	49.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:42.317	2782.0	13801.0	600.05	49.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:42.417	2782.0	13801.0	600.05	49.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:42.517	2782.0	13801.0	600.05	49.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:42.617	2782.0	13801.0	599.95	49.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:42.717	2782.0	13801.0	599.95	49.0	0x0000000000000004	Active	Not Active	Not Active	100.0
