chunk	forward	layer	head	lq	lk	sm_scale	max_log2	p9999_log2	p999_log2	mean_log2	min_log2
0	0	10	0	6032	6032	0.088388348	25.7585	25.7585	25.1209	18.3615	8.3524
0	0	10	1	6032	6032	0.088388348	59.9332	59.7794	59.1602	35.4847	19.0001
0	0	10	2	6032	6032	0.088388348	21.0404	20.9635	20.4028	15.9831	10.6477
0	0	10	3	6032	6032	0.088388348	54.3224	54.0148	52.7922	39.7863	22.4431
0	0	10	4	6032	6032	0.088388348	16.0034	15.7727	15.2364	11.5269	7.7467
0	0	10	5	6032	6032	0.088388348	59.4231	59.2693	58.6502	47.3454	7.8104
0	0	10	6	6032	6032	0.088388348	13.0705	12.9936	12.7517	8.8453	5.3557
0	0	10	7	6032	6032	0.088388348	13.4531	13.2993	12.8734	8.9011	5.6745
0	0	10	8	6032	6032	0.088388348	14.3457	14.1150	13.5806	7.5082	3.7458
0	0	10	9	6032	6032	0.088388348	9.8188	9.7804	9.5638	5.4150	1.8331
0	0	10	10	6032	6032	0.088388348	21.2954	21.0647	19.8927	14.4799	8.8625
0	0	10	11	6032	6032	0.088388348	28.3089	28.1551	26.7747	16.9608	10.5839
0	0	20	0	6032	6032	0.088388348	29.9666	29.3514	28.5600	21.3823	9.6913
0	0	20	1	6032	6032	0.088388348	36.2150	33.6005	30.4688	15.7542	8.4799
0	0	20	2	6032	6032	0.088388348	30.2216	29.9909	29.0661	22.7579	4.9413
0	0	20	3	6032	6032	0.088388348	32.0069	31.8531	31.6204	23.6478	8.9900
0	0	20	4	6032	6032	0.088388348	26.3961	26.3961	25.8782	17.6949	7.9698
0	0	20	5	6032	6032	0.088388348	14.2182	13.9106	13.1961	8.4367	4.8457
0	0	20	6	6032	6032	0.088388348	36.2150	35.9074	34.4297	25.4574	9.3088
0	0	20	7	6032	6032	0.088388348	19.0001	18.9232	18.3625	13.3353	9.2450
0	0	20	8	6032	6032	0.088388348	27.0337	26.9568	26.1411	17.4384	10.7752
0	0	20	9	6032	6032	0.088388348	30.4767	29.9384	28.8189	21.8645	10.9665
0	0	20	10	6032	6032	0.088388348	24.6109	24.0726	23.5868	19.1744	12.5605
0	0	20	11	6032	6032	0.088388348	21.2954	20.6033	19.6338	12.9799	8.0017
0	1	10	0	6032	6032	0.088388348	30.7317	30.5779	29.9627	21.5659	10.2014
0	1	10	1	6032	6032	0.088388348	59.6782	59.6782	58.6580	33.7659	17.8524
0	1	10	2	6032	6032	0.088388348	23.9733	23.9733	23.2082	17.6018	12.8155
0	1	10	3	6032	6032	0.088388348	51.7721	51.6183	51.0070	37.8614	22.0605
0	1	10	4	6032	6032	0.088388348	16.8323	16.7554	16.0652	11.9773	7.2366
0	1	10	5	6032	6032	0.088388348	59.9332	59.6256	58.6502	47.8335	6.9816
0	1	10	6	6032	6032	0.088388348	13.3893	13.2355	12.1102	8.1573	4.6863
0	1	10	7	6032	6032	0.088388348	15.6209	15.6209	15.1089	11.0815	7.0135
0	1	10	8	6032	6032	0.088388348	14.8558	14.7789	14.4055	8.6431	4.9732
0	1	10	9	6032	6032	0.088388348	10.7752	10.6214	10.1337	5.9822	2.6779
0	1	10	10	6032	6032	0.088388348	21.6780	21.6011	21.4190	15.0670	8.6074
0	1	10	11	6032	6032	0.088388348	28.8189	28.8189	27.0298	19.4038	13.7081
0	1	20	0	6032	6032	0.088388348	29.8391	29.6084	28.6914	21.9609	9.6276
0	1	20	1	6032	6032	0.088388348	23.2082	23.1313	21.7976	13.6677	7.0453
0	1	20	2	6032	6032	0.088388348	32.3894	32.0049	31.4968	24.5442	4.5587
0	1	20	3	6032	6032	0.088388348	34.6847	34.6847	34.1747	25.6205	8.6712
0	1	20	4	6032	6032	0.088388348	27.7988	27.7988	26.5197	17.9392	7.7467
0	1	20	5	6032	6032	0.088388348	15.4934	15.2627	14.4055	8.5311	5.0369
0	1	20	6	6032	6032	0.088388348	38.7653	38.1501	37.2272	27.6618	9.3725
0	1	20	7	6032	6032	0.088388348	19.7652	19.3807	18.9962	14.3604	9.0537
0	1	20	8	6032	6032	0.088388348	24.8659	24.7890	23.9733	16.0558	10.4564
0	1	20	9	6032	6032	0.088388348	30.6042	30.1428	29.3290	22.2704	10.8390
0	1	20	10	6032	6032	0.088388348	23.4632	23.3094	22.8256	19.4424	12.6242
0	1	20	11	6032	6032	0.088388348	21.1679	20.7834	19.3787	13.2954	8.8625
0	2	10	0	6032	6032	0.088388348	35.4498	34.8347	33.6646	23.6522	11.4128
0	2	10	1	6032	6032	0.088388348	60.6983	60.0831	58.9131	33.4598	18.3625
0	2	10	2	6032	6032	0.088388348	27.1612	27.0074	25.6310	20.3323	12.6242
0	2	10	3	6032	6032	0.088388348	55.8526	55.6988	54.3146	38.6658	22.8256
0	2	10	4	6032	6032	0.088388348	19.0001	18.9232	18.2271	14.3574	10.1376
0	2	10	5	6032	6032	0.088388348	62.4835	62.1760	61.2005	50.1913	8.4799
0	2	10	6	6032	6032	0.088388348	14.0907	13.8984	12.6880	8.5658	5.6426
0	2	10	7	6032	6032	0.088388348	18.1075	17.7230	17.0834	12.4483	7.4598
0	2	10	8	6032	6032	0.088388348	15.1108	15.0339	14.2182	9.7560	6.2165
0	2	10	9	6032	6032	0.088388348	10.3927	10.3158	9.8188	6.2194	3.1720
0	2	10	10	6032	6032	0.088388348	23.8458	23.6151	22.6981	16.0199	9.6913
0	2	10	11	6032	6032	0.088388348	29.0740	28.8433	27.4123	21.0679	16.4497
0	2	20	0	6032	6032	0.088388348	29.7116	29.4040	28.6914	22.1392	9.6913
0	2	20	1	6032	6032	0.088388348	21.8055	21.5748	20.5225	13.3586	7.6510
0	2	20	2	6032	6032	0.088388348	31.8794	31.8025	31.4968	25.6534	3.9371
0	2	20	3	6032	6032	0.088388348	36.9801	36.9801	36.2150	28.1178	9.3088
0	2	20	4	6032	6032	0.088388348	27.0337	26.6492	25.5035	17.9915	7.9380
0	2	20	5	6032	6032	0.088388348	16.2585	16.1816	15.1687	8.6837	5.0051
0	2	20	6	6032	6032	0.088388348	39.5304	39.5304	38.5103	30.3598	10.7115
0	2	20	7	6032	6032	0.088388348	19.8927	19.7389	19.2512	14.7908	10.1376
0	2	20	8	6032	6032	0.088388348	25.6310	25.2465	23.3357	15.7654	10.1376
0	2	20	9	6032	6032	0.088388348	29.5840	29.4303	28.9425	22.7341	11.4128
0	2	20	10	6032	6032	0.088388348	23.4632	23.2325	22.5667	19.4662	13.3893
0	2	20	11	6032	6032	0.088388348	21.0404	20.6559	19.5062	13.2777	8.4799
0	3	10	0	6032	6032	0.088388348	34.6847	34.3772	33.4017	24.5493	14.1544
0	3	10	1	6032	6032	0.088388348	60.6983	60.5445	59.6782	33.4907	18.3625
0	3	10	2	6032	6032	0.088388348	29.4565	29.1489	28.1814	21.8782	13.3256
0	3	10	3	6032	6032	0.088388348	61.2084	60.9008	59.1602	41.5902	22.8256
0	3	10	4	6032	6032	0.088388348	20.9129	20.9129	20.6578	16.2729	11.5403
0	3	10	5	6032	6032	0.088388348	64.5238	64.3700	64.0137	51.5758	10.0101
0	3	10	6	6032	6032	0.088388348	14.0907	14.0907	13.0666	9.0677	6.0571
0	3	10	7	6032	6032	0.088388348	18.7451	18.6682	18.3625	13.9486	7.8742
0	3	10	8	6032	6032	0.088388348	15.2383	15.1230	14.4693	10.5781	7.3004
0	3	10	9	6032	6032	0.088388348	10.6477	10.5324	10.0739	6.6715	3.3792
0	3	10	10	6032	6032	0.088388348	24.3558	24.3558	23.5907	16.0426	9.1175
0	3	10	11	6032	6032	0.088388348	29.0740	29.0740	26.9062	21.9608	17.5974
0	3	20	0	6032	6032	0.088388348	28.5639	28.4870	28.0499	22.4200	10.2652
0	3	20	1	6032	6032	0.088388348	21.8055	21.5748	20.5303	13.4638	8.3524
0	3	20	2	6032	6032	0.088388348	32.5169	32.2094	31.6243	26.2292	3.8574
0	3	20	3	6032	6032	0.088388348	39.2754	38.5064	37.2272	29.1185	10.2014
0	3	20	4	6032	6032	0.088388348	26.2686	25.9610	25.2406	18.3469	7.5554
0	3	20	5	6032	6032	0.088388348	16.1310	15.8618	15.1089	8.8452	6.0252
0	3	20	6	6032	6032	0.088388348	40.2955	40.2955	39.7776	31.4657	9.7551
0	3	20	7	6032	6032	0.088388348	20.1478	20.0709	19.5062	15.2651	10.3289
0	3	20	8	6032	6032	0.088388348	24.9934	24.7627	23.4593	16.6689	11.2853
0	3	20	9	6032	6032	0.088388348	28.6914	28.5376	28.3089	22.9376	11.5403
0	3	20	10	6032	6032	0.088388348	22.3155	22.3155	22.1841	19.2429	13.2618
0	3	20	11	6032	6032	0.088388348	21.4229	20.8078	19.0001	13.3383	8.6712
0	4	10	0	6032	6032	0.088388348	34.1747	33.2519	32.3894	27.4257	20.0202
0	4	10	1	6032	6032	0.088388348	48.2016	48.2016	47.4365	31.3162	20.0202
0	4	10	2	6032	6032	0.088388348	32.1344	31.8268	30.9867	24.2418	16.4497
0	4	10	3	6032	6032	0.088388348	74.9802	74.9802	73.9601	48.6852	20.2753
0	4	10	4	6032	6032	0.088388348	22.1880	22.1880	21.5504	17.7092	12.8793
0	4	10	5	6032	6032	0.088388348	71.4098	71.4098	69.8796	57.5631	11.6041
